Title,Genre,Actors,Rating
Guardians of the Galaxy,"Action,Adventure,Sci-Fi","Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",8.1
Prometheus,"Adventure,Mystery,Sci-Fi","Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron",7
Split,"Horror,Thriller","James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",7.3
Sing,"Animation,Comedy,Family","Matthew McConaughey,Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",7.2
Suicide Squad,"Action,Adventure,Fantasy","Will Smith, Jared Leto, Margot Robbie, Viola Davis",6.2
The Great Wall,"Action,Adventure,Fantasy","Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",6.1
La La Land,"Comedy,Drama,Music","Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons",8.3
Mindhorn,Comedy,"Essie Davis, Andrea Riseborough, Julian Barratt,Kenneth Branagh",6.4
The Lost City of Z,"Action,Adventure,Biography","Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",7.1
Passengers,"Adventure,Drama,Romance","Jennifer Lawrence, Chris Pratt, Michael Sheen,Laurence Fishburne",7
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy","Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler",7.5
Hidden Figures,"Biography,Drama,History","Taraji P. Henson, Octavia Spencer, Janelle Monáe,Kevin Costner",7.8
Rogue One,"Action,Adventure,Sci-Fi","Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",7.9
Moana,"Animation,Adventure,Comedy","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",7.7
Colossal,"Action,Comedy,Drama","Anne Hathaway, Jason Sudeikis, Austin Stowell,Tim Blake Nelson",6.4
The Secret Life of Pets,"Animation,Adventure,Comedy","Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell",6.6
Hacksaw Ridge,"Biography,Drama,History","Andrew Garfield, Sam Worthington, Luke Bracey,Teresa Palmer",8.2
Jason Bourne,"Action,Thriller","Matt Damon, Tommy Lee Jones, Alicia Vikander,Vincent Cassel",6.7
Lion,"Biography,Drama","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",8.1
Arrival,"Drama,Mystery,Sci-Fi","Amy Adams, Jeremy Renner, Forest Whitaker,Michael Stuhlbarg",8
Gold,"Adventure,Drama,Thriller","Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll",6.7
Manchester by the Sea,Drama,"Casey Affleck, Michelle Williams, Kyle Chandler,Lucas Hedges",7.9
Hounds of Love,"Crime,Drama,Horror","Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",6.7
Trolls,"Animation,Adventure,Comedy","Anna Kendrick, Justin Timberlake,Zooey Deschanel, Christopher Mintz-Plasse",6.5
Independence Day: Resurgence,"Action,Adventure,Sci-Fi","Liam Hemsworth, Jeff Goldblum, Bill Pullman,Maika Monroe",5.3
Paris pieds nus,Comedy,"Fiona Gordon, Dominique Abel,Emmanuelle Riva, Pierre Richard",6.8
Bahubali: The Beginning,"Action,Adventure,Drama","Prabhas, Rana Daggubati, Anushka Shetty,Tamannaah Bhatia",8.3
Dead Awake,"Horror,Thriller","Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",4.7
Bad Moms,Comedy,"Mila Kunis, Kathryn Hahn, Kristen Bell,Christina Applegate",6.2
Assassin's Creed,"Action,Adventure,Drama","Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson",5.9
Why Him?,Comedy,"Zoey Deutch, James Franco, Tangie Ambrose,Cedric the Entertainer",6.3
Nocturnal Animals,"Drama,Thriller","Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",7.5
X-Men: Apocalypse,"Action,Adventure,Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",7.1
Deadpool,"Action,Adventure,Comedy","Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein",8
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi","Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",5.6
Captain America: Civil War,"Action,Adventure,Sci-Fi","Chris Evans, Robert Downey Jr.,Scarlett Johansson, Sebastian Stan",7.9
Interstellar,"Adventure,Drama,Sci-Fi","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",8.6
Doctor Strange,"Action,Adventure,Fantasy","Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",7.6
The Magnificent Seven,"Action,Adventure,Western","Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio",6.9
5- 25- 77,"Comedy,Drama","John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn",7.1
Sausage Party,"Animation,Adventure,Comedy","Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",6.3
Moonlight,Drama,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",7.5
Don't Fuck in the Woods,Horror,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",2.7
The Founder,"Biography,Drama,History","Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini",7.2
Lowriders,Drama,"Gabriel Chavarria, Demián Bichir, Theo Rossi,Tony Revolori",6.3
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy","Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush",6.7
Miss Sloane,"Drama,Thriller","Jessica Chastain, Mark Strong, Gugu Mbatha-Raw,Michael Stuhlbarg",7.3
Fallen,"Adventure,Drama,Fantasy","Hermione Corfield, Addison Timlin, Joely Richardson,Jeremy Irvine",5.6
Star Trek Beyond,"Action,Adventure,Sci-Fi","Chris Pine, Zachary Quinto, Karl Urban, Zoe Saldana",7.1
The Last Face,Drama,"Charlize Theron, Javier Bardem, Adèle Exarchopoulos,Jared Harris",3.7
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson",8.1
Underworld: Blood Wars,"Action,Adventure,Fantasy","Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",5.8
Mother's Day,"Comedy,Drama","Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis",5.6
John Wick,"Action,Crime,Thriller","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",7.2
The Dark Knight,"Action,Crime,Drama","Christian Bale, Heath Ledger, Aaron Eckhart,Michael Caine",9
Silence,"Adventure,Drama,History","Andrew Garfield, Adam Driver, Liam Neeson,Tadanobu Asano",7.3
Don't Breathe,"Crime,Horror,Thriller","Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",7.2
Me Before You,"Drama,Romance","Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",7.4
Their Finest,"Comedy,Drama,Romance","Gemma Arterton, Sam Claflin, Bill Nighy, Jack Huston",7
Sully,"Biography,Drama","Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",7.5
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi","Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",6.7
The Autopsy of Jane Doe,"Horror,Mystery,Thriller","Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton",6.8
The Girl on the Train,"Crime,Drama,Mystery","Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux",6.5
Fifty Shades of Grey,"Drama,Romance,Thriller","Dakota Johnson, Jamie Dornan, Jennifer Ehle,Eloise Mumford",4.1
The Prestige,"Drama,Mystery,Sci-Fi","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",8.5
Kingsman: The Secret Service,"Action,Adventure,Comedy","Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine",7.7
Patriots Day,"Drama,History,Thriller","Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman",7.4
Mad Max: Fury Road,"Action,Adventure,Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz",8.1
Wakefield,Drama,"Bryan Cranston, Jennifer Garner, Beverly D'Angelo,Jason O'Mara",7.5
Deepwater Horizon,"Action,Drama,Thriller","Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont",7.2
The Promise,"Drama,History","Oscar Isaac, Charlotte Le Bon, Christian Bale, Daniel Giménez Cacho",5.9
Allied,"Action,Drama,Romance","Brad Pitt, Marion Cotillard, Jared Harris, Vincent Ebrahim",7.1
A Monster Calls,"Drama,Fantasy","Lewis MacDougall, Sigourney Weaver, Felicity Jones,Toby Kebbell",7.5
Collateral Beauty,"Drama,Romance","Will Smith, Edward Norton, Kate Winslet, Michael Peña",6.8
Zootopia,"Animation,Adventure,Comedy","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",8.1
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy","Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush",7.1
The Avengers,"Action,Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson,Jeremy Renner",8.1
Inglourious Basterds,"Adventure,Drama,War","Brad Pitt, Diane Kruger, Eli Roth,Mélanie Laurent",8.3
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",7.3
Ghostbusters,"Action,Comedy,Fantasy","Melissa McCarthy, Kristen Wiig, Kate McKinnon, Leslie Jones",5.3
Inception,"Action,Adventure,Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",8.8
Captain Fantastic,"Comedy,Drama","Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso",7.9
The Wolf of Wall Street,"Biography,Comedy,Crime","Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey",8.2
Gone Girl,"Crime,Drama,Mystery","Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry",8.1
Furious Seven,"Action,Crime,Thriller","Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",7.2
Jurassic World,"Action,Adventure,Sci-Fi","Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer",7
Live by Night,"Crime,Drama","Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina",6.4
Avatar,"Action,Adventure,Fantasy","Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",7.8
The Hateful Eight,"Crime,Drama,Mystery","Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",7.8
The Accountant,"Action,Crime,Drama","Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal",7.4
Prisoners,"Crime,Drama,Mystery","Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo",8.1
Warcraft,"Action,Adventure,Fantasy","Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",7
The Help,Drama,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard",8.1
War Dogs,"Comedy,Crime,Drama","Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner",7.1
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",7.4
The Nice Guys,"Action,Comedy,Crime","Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",7.4
Kimi no na wa,"Animation,Drama,Fantasy","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki",8.6
The Void,"Horror,Mystery,Sci-Fi","Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe",5.8
Personal Shopper,"Drama,Mystery,Thriller","Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie",6.3
The Departed,"Crime,Drama,Thriller","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",8.5
Legend,"Biography,Crime,Drama","Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson",7
Thor,"Action,Adventure,Fantasy","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston",7
The Martian,"Adventure,Drama,Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara",8
Contratiempo,"Crime,Mystery,Thriller","Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie",7.9
The Man from U.N.C.L.E.,"Action,Adventure,Comedy","Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki",7.3
Hell or High Water,"Crime,Drama,Thriller","Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",7.7
The Comedian,Comedy,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco",5.4
The Legend of Tarzan,"Action,Adventure,Drama","Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",6.3
All We Had,Drama,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis",5.8
Ex Machina,"Drama,Mystery,Sci-Fi","Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno",7.7
The Belko Experiment,"Action,Horror,Thriller","John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",6.3
12 Years a Slave,"Biography,Drama,History","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",8.1
The Bad Batch,"Romance,Sci-Fi","Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna",6.1
300,"Action,Fantasy,War","Gerard Butler, Lena Headey, David Wenham, Dominic West",7.7
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",8.1
Office Christmas Party,Comedy,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston",5.8
The Neon Demon,"Horror,Thriller","Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman",6.2
Dangal,"Action,Biography,Drama","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra",8.8
10 Cloverfield Lane,"Drama,Horror,Mystery","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",7.2
Finding Dory,"Animation,Adventure,Comedy","Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson",7.4
Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family","Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench",6.7
Divergent,"Adventure,Mystery,Sci-Fi","Shailene Woodley, Theo James, Kate Winslet, Jai Courtney",6.7
